Timestamp,canister_mass,sump_mass,pump_voltage,pump_current,dv_voltage,dv_current,ev1_status,ev2_status
1769412799.2959058,5.000885644513304,0.0004958401128024948,24.0,2.0,24.0,0.5,False,False
1769412799.402962,4.999975668165373,0.0,24.0,2.0,24.0,0.5,False,False
1769412799.5131748,4.999498080932956,0.0005445940649209079,24.0,2.0,24.0,0.5,False,False
1769412799.619982,5.0028553946828715,0.0012568128881694845,24.0,2.0,24.0,0.5,False,False
1769412799.7293975,5.000911894433425,0.0,24.0,2.0,24.0,0.5,False,False
1769412799.8472083,4.999239237730573,0.00012604016542025996,24.0,2.0,24.0,0.5,False,False
1769412799.9561796,4.998038503179303,0.0,24.0,2.0,24.0,0.5,False,False
1769412800.061331,4.998933557075772,0.0018764123976685405,24.0,2.0,24.0,0.5,False,False
1769412800.1651804,5.002043463929844,0.00118149191205341,24.0,2.0,24.0,0.5,False,False
1769412800.2730083,4.998610850247297,0.0,24.0,2.0,24.0,0.5,False,False
1769412800.3789024,5.001292626034377,0.0,24.0,2.0,24.0,0.5,False,False
1769412800.4846485,4.999549427739944,0.0,24.0,2.0,24.0,0.5,False,False
1769412800.5991204,4.997236070244063,0.00207943929232099,24.0,2.0,24.0,0.5,False,False
1769412800.712107,4.997295338758488,0.0,24.0,2.0,24.0,0.5,False,False
1769412800.8208148,5.000060014971912,0.0,24.0,2.0,24.0,0.5,False,False
1769412800.9276743,4.9997677470702575,0.0024315586787138762,24.0,0.2,24.0,0.6,True,False
1769412801.0315475,4.8019477812062625,0.1991345393235623,24.0,0.2,24.0,0.6,True,False
1769412801.133437,4.598776764586567,0.39879580883429316,24.0,0.2,24.0,0.6,True,False
1769412801.236352,4.397182492870952,0.6000810968729346,24.0,0.2,24.0,0.6,True,False
1769412801.3391938,4.199936048803427,0.8014115974788635,24.0,0.2,24.0,0.6,True,False
1769412801.4428556,4.001510303067004,0.9990104783364803,24.0,0.2,24.0,0.6,True,False
1769412801.5439372,3.800628979536304,1.2028682085053548,24.0,0.2,24.0,0.6,True,False
1769412801.6544752,3.6025861480317913,1.401223212486808,24.0,0.2,24.0,0.6,True,False
1769412801.7663445,3.4027496310273193,1.597157068448553,24.0,0.2,24.0,0.6,True,False
1769412801.8725393,3.200887793791877,1.8011102612624008,24.0,0.2,24.0,0.6,True,False
1769412801.9833047,2.997749956161461,2.000091403107798,24.0,0.2,24.0,0.6,True,False
1769412802.093472,2.8018036660289423,2.1970256148153893,24.0,0.2,24.0,0.6,True,False
1769412802.200247,2.5987497063364007,2.399810549437376,24.0,0.2,24.0,0.6,True,False
1769412802.3076022,2.398866339216119,2.602649350753697,24.0,0.2,24.0,0.6,True,False
1769412802.4111426,2.201054861000032,2.797797851569518,24.0,0.2,24.0,0.6,True,False
1769412802.514117,2.000734491457971,3.0000829885518745,24.0,0.2,24.0,0.6,True,False
1769412802.6232486,1.799497221172307,3.201944353788602,24.0,0.2,24.0,0.6,True,False
1769412802.736671,1.6025500382651874,3.402747756383336,24.0,0.2,24.0,0.6,True,False
1769412802.8470879,1.3988310931366532,3.5981960860632443,24.0,0.2,24.0,0.6,True,False
1769412802.9530692,1.1978908676919122,3.8027311228856715,24.0,0.2,24.0,0.6,True,False
1769412803.0635722,1.002330015765946,4.002588582627998,24.0,0.2,24.0,0.6,True,False
1769412803.1791067,0.8975968921619853,4.098164149887444,24.0,0.2,24.0,0.6,True,False
1769412803.2809515,0.6996514363026851,4.297719798670329,24.0,0.2,24.0,0.6,True,False
1769412803.3943918,0.5002492196961025,4.497595673317489,24.0,0.2,24.0,0.6,True,False
1769412803.503412,0.3007345119577978,4.700644707877216,24.0,0.2,24.0,0.6,True,False
1769412803.614254,0.1028522613374468,4.901589399013125,24.0,0.2,24.0,0.6,True,False
1769412803.7230916,0.0,4.999346085040139,24.0,3.0,24.0,0.5,False,False
1769412803.832464,0.0016477935635263695,4.798873219721777,24.0,3.0,24.0,0.5,False,False
1769412803.9465477,0.0021429666538751177,4.6008466182963055,24.0,3.0,24.0,0.5,False,False
1769412804.0508156,0.0014874486876628717,4.398459013809298,24.0,3.0,24.0,0.5,False,False
1769412804.163897,0.0,4.300238731590673,24.0,3.0,24.0,0.5,False,False
1769412804.2678876,0.0009307266445694653,4.101985801331556,24.0,3.0,24.0,0.5,False,False
1769412804.3737576,0.002325225482900829,3.8971746166130323,24.0,3.0,24.0,0.5,False,False
1769412804.4751832,0.00013419796845427507,3.699979840732148,24.0,3.0,24.0,0.5,False,False
1769412804.5834985,0.0019028517995042073,3.5018606845025246,24.0,3.0,24.0,0.5,False,False
1769412804.6897635,0.0019979334689611923,3.2976189731919527,24.0,3.0,24.0,0.5,False,False
1769412804.8001041,0.002987654748928175,3.1006051496337235,24.0,3.0,24.0,0.5,False,False
1769412804.90355,0.0,2.8994767706834015,24.0,3.0,24.0,0.5,False,False
1769412805.0074246,0.0027517557266817493,2.702280466143593,24.0,3.0,24.0,0.5,False,False
1769412805.1139534,0.0,2.5008580254992485,24.0,3.0,24.0,0.5,False,False
1769412805.2161956,0.0,2.402500095800088,24.0,3.0,24.0,0.5,False,False
1769412805.3202364,0.0012306420902095244,2.200814388409784,24.0,3.0,24.0,0.5,False,False
1769412805.4315066,0.0018127412005213344,1.9990173067039638,24.0,3.0,24.0,0.5,False,False
1769412805.535374,0.0,1.7993152354524045,24.0,3.0,24.0,0.5,False,False
1769412805.6374419,0.0016435816319873998,1.6024320729605441,24.0,3.0,24.0,0.5,False,False
1769412805.7511191,0.0019743891495735914,1.3986720400507993,24.0,3.0,24.0,0.5,False,False
1769412805.8616517,0.0023628621535878407,1.2972153168312246,24.0,3.0,24.0,0.5,False,False
1769412805.9645019,0.001737150313711017,1.0987160054030534,24.0,3.0,24.0,0.5,False,False
1769412806.0787516,0.0,0.8988786354371525,24.0,3.0,24.0,0.5,False,False
1769412806.180774,0.0,0.7023593410734316,24.0,3.0,24.0,0.5,False,False
1769412806.286367,0.0,0.49932572238837375,24.0,3.0,24.0,0.5,False,False
1769412806.3899195,0.0,0.30101274924964405,24.0,3.0,24.0,0.5,False,False
