Timestamp,canister_mass,sump_mass,pump_voltage,pump_current,dv_voltage,dv_current,ev1_status,ev2_status
1769412796.836821,4.999091261794101,0.0013683622759490376,24.0,2.0,24.0,0.5,False,False
1769412796.9516604,4.997676643750903,0.0,24.0,2.0,24.0,0.5,False,False
1769412797.056378,4.998451822804795,0.0,24.0,2.0,24.0,0.5,False,False
1769412797.167974,4.999367901098485,0.00014004995878215323,24.0,2.0,24.0,0.5,False,False
1769412797.2745898,4.999801061344674,0.001934591401396478,24.0,2.0,24.0,0.5,False,False
1769412797.3850358,5.002105083966797,0.00040407999590513777,24.0,2.0,24.0,0.5,False,False
1769412797.492035,5.00294968887146,0.00061986768056834,24.0,2.0,24.0,0.5,False,False
1769412797.5958643,5.002571767553422,0.0,24.0,2.0,24.0,0.5,False,False
1769412797.6996439,4.999648164529639,0.0024796636426292614,24.0,2.0,24.0,0.5,False,False
1769412797.8015828,5.000887733322574,0.000225914860102692,24.0,2.0,24.0,0.5,False,False
1769412797.9035013,5.002729296586784,0.0009986025262843428,24.0,2.0,24.0,0.5,False,False
1769412798.010633,5.001542057079624,0.001190081224809342,24.0,2.0,24.0,0.5,False,False
1769412798.1132503,5.0003878796852295,0.0010029036037020652,24.0,2.0,24.0,0.5,False,False
1769412798.2164063,4.99753716893019,0.0,24.0,2.0,24.0,0.5,False,False
1769412798.320521,4.998520995190175,0.0,24.0,2.0,24.0,0.5,False,False
1769412798.429169,4.999800862276815,0.0,24.0,2.0,24.0,0.5,False,False
1769412798.5337358,4.998484045093928,6.570746640492762e-05,24.0,2.0,24.0,0.5,False,False
1769412798.6386745,5.002456325564239,0.0013431082352631024,24.0,2.0,24.0,0.5,False,False
1769412798.7497284,5.001022030938327,0.0010491234099186814,24.0,2.0,24.0,0.5,False,False
1769412798.8588076,5.0001528149382555,0.0,24.0,2.0,24.0,0.5,False,False
1769412798.9642365,4.998454604193519,0.0,24.0,2.0,24.0,0.5,False,False
1769412799.0750093,5.001992233638561,0.0007623674732698312,24.0,2.0,24.0,0.5,False,False
1769412799.1860034,4.997356991718519,0.0,24.0,2.0,24.0,0.5,False,False
